filename, language, Properties, Markdown, JSON, HTML, SCSS, JavaScript, JavaScript React, XML, comment, blank, total
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\tempPanelOptions-actions.js, JavaScript, 0, 0, 0, 0, 0, 14, 0, 0, 1, 1, 16
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\tempProperties-actions.js, JavaScript, 0, 0, 0, 0, 0, 14, 0, 0, 1, 2, 17
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\actions\user-actions.js, JavaScript, 0, 0, 0, 0, 0, 31, 0, 0, 1, 5, 37
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\dashboards-reducer.js, JavaScript, 0, 0, 0, 0, 0, 79, 0, 0, 0, 3, 82
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\databases-reducers.js, JavaScript, 0, 0, 0, 0, 0, 57, 0, 0, 0, 2, 59
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\dbTables-reducers.js, JavaScript, 0, 0, 0, 0, 0, 32, 0, 0, 1, 2, 35
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\metrics-reducer.js, JavaScript, 0, 0, 0, 0, 0, 50, 0, 0, 1, 2, 53
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\panels-reducer.js, JavaScript, 0, 0, 0, 0, 0, 69, 0, 0, 1, 4, 74
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\queryData-reducer.js, JavaScript, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\tempPanelOptions-reducer.js, JavaScript, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\tempProperties-reducer.js, JavaScript, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\reducers\user-reducer.js, JavaScript, 0, 0, 0, 0, 0, 44, 0, 0, 0, 4, 48
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\services\redux\store\store.js, JavaScript, 0, 0, 0, 0, 0, 43, 0, 0, 1, 4, 48
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\settings\typeOptions.js, JavaScript, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\setupTests.js, JavaScript, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Breadcrumbs\Breadcrumbs.js, JavaScript, 0, 0, 0, 0, 0, 48, 0, 0, 0, 3, 51
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Breadcrumbs\Breadcrumbs.test.js, JavaScript, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Breadcrumbs\package.json, JSON, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
c:\Users\User\Desktop\Programavimas\Sneakybox\SneakyBox-Sentio-Project\front-end sentio\coreui\src\views\Base\Cards\Cards.js, JavaScript, 0, 0, 0, 0, 0, 408, 0, 0, 0, 9, 417
